smooth_mode,aug_mode,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
F2,G2,1,2,278,648,31,46,132.89,0.266618,0.7000000000000001,0.8258064516129032,0.8387096774193549,0.0,0.8,0.8,1.0,0.6,1.0
F2,G2,1,3,278,652,31,29,87.48,0.267193,0.7079365079365081,0.7087557603686636,0.7419354838709677,0.2,0.7142857142857143,1.0,1.0,0.3333333333333333,1.0
F2,G2,1,4,278,648,31,50,141.72,0.266906,0.9686609686609686,0.9682933553901296,0.967741935483871,0.9230769230769231,0.8888888888888888,1.0,1.0,1.0,1.0
F2,G2,1,5,278,648,31,25,77.69,0.266237,0.7373015873015873,0.775268817204301,0.7741935483870968,0.5,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.8,0.9333333333333333
F2,G2,1,6,278,654,31,50,142.69,0.267193,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
F2,G2,1,7,278,652,31,43,128.31,0.267524,0.7678571428571429,0.7983870967741935,0.8064516129032258,0.25,0.8571428571428571,1.0,1.0,0.5,1.0
F2,G2,1,8,278,658,31,28,88.17,0.266616,0.6328947368421052,0.7749575551782683,0.7419354838709677,0.25,0.6666666666666666,0.5,0.9333333333333333,0.5,0.9473684210526315
F2,G2,1,9,279,654,30,38,111.67,0.267994,0.8679738562091504,0.893202614379085,0.9,0.6666666666666666,0.8,1.0,1.0,0.8,0.9411764705882353
F2,G2,2,0,278,654,31,50,144.63,0.266616,0.9064241486068112,0.8985718565864376,0.9032258064516129,0.75,0.8,1.0,0.9411764705882353,1.0,0.9473684210526315
F2,G2,2,1,278,648,31,28,88.37,0.267395,0.6857142857142858,0.7474654377880184,0.7741935483870968,0.2857142857142857,0.8571428571428571,0.5,1.0,0.5714285714285714,0.9
F2,G2,2,2,278,648,31,40,120.29,0.266618,0.895959595959596,0.9315738025415443,0.9354838709677419,0.6666666666666666,0.8,1.0,1.0,0.9090909090909091,1.0
F2,G2,2,3,278,652,31,35,105.41,0.267193,0.7536907536907537,0.7699075118429957,0.7741935483870968,0.46153846153846156,0.7272727272727273,1.0,1.0,0.3333333333333333,1.0
F2,G2,2,4,278,648,31,35,105.76,0.266906,0.9082491582491582,0.8971977842945585,0.9032258064516129,0.7272727272727273,0.8888888888888888,1.0,1.0,0.8333333333333334,1.0
F2,G2,2,5,278,648,31,18,60.96,0.266237,0.4199579831932773,0.490119273515858,0.5161290322580645,0.0,0.5,0.42857142857142855,0.25,0.4,0.9411764705882353
F2,G2,2,6,278,654,31,45,132.4,0.267193,0.7686091686091686,0.915241747499812,0.9032258064516129,0.9090909090909091,0.7692307692307693,1.0,0.9333333333333333,0.0,1.0
F2,G2,2,7,278,652,31,26,81.42,0.267524,0.6972222222222223,0.7381720430107527,0.7419354838709677,0.4,0.75,0.8,0.8333333333333334,0.4,1.0
F2,G2,2,8,278,658,31,46,135.73,0.266616,0.8988844660671287,0.9091628501995025,0.9032258064516129,0.5714285714285714,0.9333333333333333,1.0,0.9411764705882353,1.0,0.9473684210526315
F2,G2,2,9,279,654,30,50,144.55,0.267994,0.9166666666666666,0.9277777777777778,0.9333333333333333,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0
F2,G3,0,0,278,834,31,27,103.95,0.266616,0.7303921568627452,0.7741935483870968,0.7741935483870968,0.5,0.5,1.0,0.9411764705882353,0.5,0.9411764705882353
F2,G3,0,1,278,834,31,41,149.41,0.267395,0.7967532467532467,0.8354140483172742,0.8387096774193549,0.5714285714285714,0.8333333333333334,0.8,0.9090909090909091,0.6666666666666666,1.0
F2,G3,0,2,278,834,31,40,146.79,0.266618,0.898148148148148,0.9336917562724015,0.9354838709677419,0.6666666666666666,0.8888888888888888,1.0,1.0,0.8333333333333334,1.0
F2,G3,0,3,278,834,31,50,180.34,0.267193,0.8638888888888889,0.8586021505376344,0.8709677419354839,0.6,0.8333333333333334,1.0,1.0,0.75,1.0
F2,G3,0,4,278,834,31,35,130.0,0.266906,0.9444444444444445,0.9354838709677421,0.9354838709677419,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0
F2,G3,0,5,278,834,31,17,70.42,0.266237,0.6052754435107377,0.6944971537001898,0.7419354838709677,0.4,0.8333333333333334,0.0,0.8571428571428571,0.6,0.9411764705882353
F2,G3,0,6,278,834,31,50,179.63,0.267193,0.8070707070707069,0.9673509286412513,0.967741935483871,0.9090909090909091,0.9333333333333333,1.0,1.0,0.0,1.0
F2,G3,0,7,278,834,31,17,70.14,0.267524,0.7199074074074074,0.7875448028673836,0.8064516129032258,0.4444444444444444,0.875,0.6666666666666666,1.0,0.4,0.9333333333333333
F2,G3,0,8,278,834,31,50,180.27,0.266616,0.676631120284371,0.8184848585727443,0.8387096774193549,0.4,0.8235294117647058,1.0,0.8888888888888888,0.0,0.9473684210526315
