variant_key,coord_v,extractor_v,temporal_v,loss_v,norm_v,seed,fold_idx,n_train,n_train_aug,n_test,epochs_run,fold_time_s,z_scale,macro_f1,weighted_f1,accuracy,f1_anger,f1_disgust,f1_fear,f1_happiness,f1_sadness,f1_surprise
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,4,278,648,31,50,178.32,0.266989,0.8111111111111112,0.7849462365591398,0.8064516129032258,0.4,0.8,1.0,1.0,0.6666666666666666,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,5,278,648,31,50,186.32,0.266073,0.7992063492063491,0.8371735791090631,0.8387096774193549,0.5714285714285714,0.8333333333333334,0.6666666666666666,0.9333333333333333,0.8571428571428571,0.9333333333333333
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,6,278,654,31,50,184.45,0.267232,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,7,278,652,31,40,152.45,0.267427,0.9222222222222222,0.9333333333333332,0.9354838709677419,0.8,0.9333333333333333,1.0,1.0,0.8,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,8,278,658,31,42,164.28,0.266352,0.6760233918128655,0.8282965478211658,0.8387096774193549,0.3333333333333333,0.8421052631578947,1.0,0.9333333333333333,0.0,0.9473684210526315
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,0,9,279,654,30,50,187.89,0.267656,0.8388888888888889,0.8788888888888889,0.9,0.4,0.8333333333333334,1.0,1.0,0.8,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,0,278,654,31,50,184.12,0.266352,0.8187675070028012,0.8650040661425861,0.8709677419354839,0.5714285714285714,0.8,0.8,0.9411764705882353,0.8,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,1,278,648,31,20,81.72,0.267348,0.6504569504569505,0.7052553181585439,0.7096774193548387,0.2222222222222222,0.5714285714285714,0.8,0.9090909090909091,0.4,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,2,278,648,31,50,186.09,0.266545,0.7000000000000001,0.8258064516129032,0.8387096774193549,0.0,0.8,0.8,1.0,0.6,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,3,278,652,31,50,189.13,0.267232,0.825036075036075,0.8290043290043291,0.8387096774193549,0.5454545454545454,0.8333333333333334,1.0,1.0,0.5714285714285714,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,4,278,648,31,38,148.03,0.266989,0.9160839160839161,0.9011955786149335,0.9032258064516129,0.7272727272727273,1.0,1.0,1.0,0.7692307692307693,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,5,278,648,31,30,118.03,0.266073,0.7924603174603174,0.862826420890937,0.8709677419354839,0.5,1.0,0.75,0.9333333333333333,0.5714285714285714,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,6,278,654,31,50,186.89,0.267232,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,7,278,652,31,38,143.25,0.267427,0.818878833584716,0.8298788498029485,0.8387096774193549,0.5,0.8235294117647058,1.0,0.9230769230769231,0.6666666666666666,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,8,278,658,31,50,187.63,0.266352,0.832731338149295,0.893521755051766,0.9032258064516129,0.5,0.9411764705882353,1.0,0.9411764705882353,0.6666666666666666,0.9473684210526315
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,1,9,279,654,30,48,179.98,0.267656,0.8388888888888889,0.8788888888888889,0.9,0.4,0.8333333333333334,1.0,1.0,0.8,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,0,278,654,31,50,187.62,0.266352,0.9009704892057834,0.9313821325206525,0.9354838709677419,0.8888888888888888,0.9090909090909091,0.6666666666666666,0.9411764705882353,1.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,1,278,648,31,34,128.55,0.267348,0.8143939393939394,0.8357771260997067,0.8387096774193549,0.5,0.7272727272727273,1.0,0.9090909090909091,0.75,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,2,278,648,31,45,162.97,0.266545,0.8431818181818181,0.9063049853372434,0.9032258064516129,0.4,0.9090909090909091,1.0,1.0,0.75,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,3,278,652,31,50,184.86,0.267232,0.7536907536907537,0.7699075118429957,0.7741935483870968,0.46153846153846156,0.7272727272727273,1.0,1.0,0.3333333333333333,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,4,278,648,31,50,178.77,0.266989,0.9160839160839161,0.9039025490638395,0.9032258064516129,0.7692307692307693,1.0,1.0,1.0,0.7272727272727273,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,5,278,648,31,41,153.17,0.266073,0.7985294117647058,0.8541745730550284,0.8709677419354839,0.5,1.0,0.6666666666666666,0.9333333333333333,0.75,0.9411764705882353
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,6,278,654,31,50,178.96,0.267232,0.7666666666666666,0.9161290322580646,0.9032258064516129,0.8,0.8,1.0,1.0,0.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,7,278,652,31,21,87.83,0.267427,0.6452380952380953,0.7129032258064517,0.7419354838709677,0.5,0.7142857142857143,0.8,0.8571428571428571,0.0,1.0
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,8,278,658,31,27,108.5,0.266352,0.8129873294346979,0.8629503867194869,0.8709677419354839,0.5,0.875,1.0,0.8888888888888888,0.6666666666666666,0.9473684210526315
A2_B3_C3_D2_E2,A2,B3,C3,D2,E2,2,9,279,654,30,33,127.58,0.267656,0.8831168831168831,0.8974025974025974,0.9,0.5714285714285714,0.7272727272727273,1.0,1.0,1.0,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,0,278,654,31,36,109.28,0.266352,0.8457516339869281,0.8643896268184693,0.8709677419354839,0.6666666666666666,0.6666666666666666,1.0,0.9411764705882353,0.8,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,1,278,648,31,20,67.16,0.267348,0.7372294372294372,0.7908671973188102,0.8064516129032258,0.2857142857142857,0.8571428571428571,0.8,0.9090909090909091,0.5714285714285714,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,2,278,648,31,19,65.32,0.266545,0.6430799220272905,0.7639313337106205,0.7741935483870968,0.0,0.6666666666666666,0.8,1.0,0.4444444444444444,0.9473684210526315
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,3,278,652,31,18,61.1,0.267232,0.6378163746584798,0.641015652900203,0.6774193548387096,0.2222222222222222,0.6153846153846154,0.6666666666666666,0.9090909090909091,0.5714285714285714,0.8421052631578947
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,4,278,648,31,46,136.84,0.266989,0.8231481481481481,0.832078853046595,0.8387096774193549,0.75,1.0,0.8,0.8888888888888888,0.5,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,5,278,648,31,25,79.73,0.266073,0.7928571428571428,0.840552995391705,0.8387096774193549,0.4,0.8333333333333334,1.0,1.0,0.6666666666666666,0.8571428571428571
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,6,278,654,31,50,144.62,0.267232,0.8205128205128206,0.9826302729528535,0.967741935483871,1.0,0.9230769230769231,1.0,1.0,0.0,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,7,278,652,31,32,97.43,0.267427,0.7355455002513827,0.7986960541040238,0.8064516129032258,0.6,0.8235294117647058,0.6666666666666666,0.9230769230769231,0.4,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,8,278,658,31,31,97.86,0.266352,0.8538011695906432,0.8670062252405205,0.8709677419354839,0.4,0.8421052631578947,1.0,0.9333333333333333,1.0,0.9473684210526315
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,0,9,279,654,30,28,87.88,0.267656,0.7615384615384615,0.814871794871795,0.8666666666666667,0.0,0.7692307692307693,1.0,1.0,0.8,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,0,278,654,31,45,131.19,0.266352,0.8175925925925926,0.8659498207885306,0.8709677419354839,0.75,0.8,0.6666666666666666,0.8888888888888888,0.8,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,1,278,648,31,24,76.52,0.267348,0.5765310397663339,0.6245189556385002,0.6129032258064516,0.3076923076923077,0.25,0.5714285714285714,0.8888888888888888,0.5,0.9411764705882353
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,2,278,648,31,49,140.07,0.266545,0.734640522875817,0.834282099936749,0.8387096774193549,0.5,0.8,0.5,0.9411764705882353,0.6666666666666666,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,3,278,652,31,33,99.13,0.267232,0.8300865800865801,0.8387795000698226,0.8387096774193549,0.6666666666666666,0.8333333333333334,1.0,0.9090909090909091,0.5714285714285714,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,4,278,648,31,50,142.13,0.266989,0.9160839160839161,0.9011955786149335,0.9032258064516129,0.7272727272727273,1.0,1.0,1.0,0.7692307692307693,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,5,278,648,31,21,68.18,0.266073,0.6073717948717948,0.7015715467328371,0.7419354838709677,0.0,0.7692307692307693,0.4,0.9333333333333333,0.6666666666666666,0.875
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,6,278,654,31,19,62.82,0.267232,0.5504629629629629,0.6909498207885305,0.7096774193548387,0.5,0.625,0.4,0.7777777777777778,0.0,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,7,278,652,31,36,105.22,0.267427,0.8402777777777778,0.8588709677419355,0.8709677419354839,0.5,0.875,1.0,1.0,0.6666666666666666,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,8,278,658,31,21,67.41,0.266352,0.7018762183235867,0.8091869458592718,0.8387096774193549,0.0,0.875,1.0,0.8888888888888888,0.5,0.9473684210526315
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,1,9,279,654,30,50,143.05,0.267656,0.708630421865716,0.7827480689245395,0.8,0.4,0.7272727272727273,0.75,0.9333333333333333,0.5,0.9411764705882353
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,0,278,654,31,50,142.84,0.266352,0.9013071895424837,0.8944971537001897,0.9032258064516129,0.8,0.6666666666666666,1.0,0.9411764705882353,1.0,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,1,278,648,31,30,90.36,0.267348,0.6698653198653198,0.7257738677093515,0.7096774193548387,0.36363636363636365,0.6,0.6666666666666666,0.8888888888888888,0.5,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,2,278,648,31,49,137.67,0.266545,0.7212121212121212,0.8463343108504399,0.8709677419354839,0.0,0.8,0.8,1.0,0.7272727272727273,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,3,278,652,31,17,56.48,0.267232,0.5842532467532467,0.6104000837871805,0.6774193548387096,0.0,0.625,0.5714285714285714,0.9090909090909091,0.4,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,4,278,648,31,48,133.1,0.266989,0.9385521885521886,0.9333659172368849,0.9354838709677419,0.8333333333333334,0.8888888888888888,1.0,1.0,0.9090909090909091,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,5,278,648,31,26,80.2,0.266073,0.505077030812325,0.643229872594199,0.7096774193548387,0.0,0.7142857142857143,0.5,0.875,0.0,0.9411764705882353
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,6,278,654,31,43,122.33,0.267232,0.7009803921568628,0.8368121442125237,0.8387096774193549,0.5,0.7058823529411765,1.0,1.0,0.0,1.0
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,7,278,652,31,27,82.81,0.267427,0.6349400871459695,0.7240406915454355,0.7741935483870968,0.4444444444444444,0.8235294117647058,0.6666666666666666,1.0,0.0,0.875
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,8,278,658,31,41,127.43,0.266352,0.8338206627680312,0.8952084512356159,0.9032258064516129,0.5,0.8888888888888888,1.0,1.0,0.6666666666666666,0.9473684210526315
A2_B3_C1_D1_E2,A2,B3,C1,D1,E2,2,9,279,654,30,29,88.49,0.267656,0.8101010101010101,0.8523232323232324,0.8666666666666667,0.3333333333333333,0.7272727272727273,1.0,1.0,0.8,1.0
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,0,278,654,31,37,109.08,0.266352,0.7962962962962963,0.8422939068100358,0.8387096774193549,0.4444444444444444,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,1,278,648,31,19,61.83,0.267348,0.5238095238095238,0.6006144393241167,0.6451612903225806,0.0,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.3333333333333333,1.0
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,2,278,648,31,24,74.48,0.266545,0.759640522875817,0.8501265022137887,0.8387096774193549,0.4,0.8,0.6666666666666666,1.0,0.75,0.9411764705882353
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,3,278,652,31,24,74.89,0.267232,0.7079365079365081,0.7087557603686636,0.7419354838709677,0.2,0.7142857142857143,1.0,1.0,0.3333333333333333,1.0
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,4,278,648,31,26,79.28,0.266989,0.8156565656565657,0.7981427174975562,0.8064516129032258,0.5,0.7272727272727273,1.0,1.0,0.6666666666666666,1.0
A2_B3_C1_D3_E2,A2,B3,C1,D3,E2,0,5,278,648,31,50,139.24,0.266073,0.8400793650793651,0.8939324116743471,0.9032258064516129,0.5,1.0,0.8571428571428571,0.9333333333333333,0.75,1.0
